id,name
college1,武汉大学
college2,华中科技大学
college3,武汉科技大学
college4,长江大学
college5,武汉工程大学
college6,中国地质大学(武汉)
college7,武汉纺织大学
college8,武汉轻工大学
college9,武汉理工大学
college10,湖北工业大学
college11,华中农业大学
college12,湖北中医药大学
college13,华中师范大学
college14,湖北大学
college15,湖北师范大学
college16,黄冈师范学院
college17,湖北民族大学
college18,汉江师范学院
college19,湖北文理学院
college20,中南财经政法大学
college21,武汉体育学院
college22,湖北美术学院
college23,中南民族大学
college24,湖北汽车工业学院
college25,湖北工程学院
college26,湖北理工学院
college27,湖北科技学院
college28,湖北医药学院
college29,江汉大学
college30,三峡大学
college31,湖北警官学院
college32,荆楚理工学院
college33,武汉音乐学院
college34,湖北经济学院
college35,武汉东湖学院
college36,汉口学院
college37,武昌首义学院
college38,武昌理工学院
college39,武汉生物工程学院
college40,武汉晴川学院
college41,湖北大学知行学院
college42,武汉城市学院
college43,三峡大学科技学院
college44,武汉文理学院
college45,湖北工业大学工程技术学院
college46,武汉工程大学邮电与信息工程学院
college47,武汉纺织大学外经贸学院
college48,武昌工学院
college49,武汉工商学院
college50,荆州学院
college51,长江大学文理学院
college52,湖北商贸学院
college53,湖北汽车工业学院科技学院
college54,湖北医药学院药护学院
college55,湖北恩施学院
college56,湖北经济学院法商学院
college57,武汉体育学院体育科技学院
college58,湖北师范大学文理学院
college59,湖北文理学院理工学院
college60,湖北工程学院新技术学院
college61,文华学院
college62,武汉学院
college63,武汉工程科技学院
college64,武汉华夏理工学院
college65,武汉传媒学院
college66,武汉设计工程学院
college67,湖北第二师范学院
college68,海军工程大学
college69,空军预警学院
